Name(s) of Enslaved Person (Transcribe what is listed),Age listed for Enslaved Person,Freed Age,Assumed Gender of Enslaved Person,Page Number,Image Name (A001870XX_XXX),Date (YYYY-MM-DD),"Place (Township, County, etc)",Place(State),"Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Assumed Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)",Monthly Meeting,"Transcribed - Monthly Meeting Clerk (Last Name, First Name)","Unabbreviated - Clerk (Last name, First name)",Notes,Indexer initials,Checker initials
Hercules,9,21,male,11th-12th,A00179697_059,1775-04-01,Sussex County,DE,"Spencer, Joshua",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Nancy,7,21,female,11th-12th,A00179697_059,1775-04-01,Sussex County,DE,"Spencer, Joshua",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Cudgo,4,21,male,11th-12th,A00179697_059,1775-04-01,Sussex County,DE,"Spencer, Joshua",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Priscilla,1,21,female,11th-12th,A00179697_059,1775-04-01,Sussex County,DE,"Spencer, Joshua",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Peter Becket,25,25,male,12th-13th,A00179697_060,1775-05-18,Kent County,DE,"Hanson, Sam.","Hanson, Samuel",male,"Mifflin, Warner; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Charles Becket,30,30,male,12th-13th,A00179697_060,1775-05-18,Kent County,DE,"Hanson, Sam.","Hanson, Samuel",male,"Mifflin, Warner; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Isaac Becket,23,23,male,12th-13th,A00179697_060,1775-05-18,Kent County,DE,"Hanson, Sam.","Hanson, Samuel",male,"Mifflin, Warner; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Moses,23,23,male,12th-13th,A00179697_060,1775-05-18,Kent County,DE,"Hanson, Sam.","Hanson, Samuel",male,"Mifflin, Warner; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Dick,20,21,male,12th-13th,A00179697_060,1775-05-18,Kent County,DE,"Hanson, Sam.","Hanson, Samuel",male,"Mifflin, Warner; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Cato,12,21,male,12th-13th,A00179697_060,1775-05-18,Kent County,DE,"Hanson, Sam.","Hanson, Samuel",male,"Mifflin, Warner; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Rachel,10,18,female,12th-13th,A00179697_060,1775-05-18,Kent County,DE,"Hanson, Sam.","Hanson, Samuel",male,"Mifflin, Warner; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Joe,8,21,male,12th-13th,A00179697_060,1775-05-18,Kent County,DE,"Hanson, Sam.","Hanson, Samuel",male,"Mifflin, Warner; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Robin,60+,60+,male,13th,A00179697_061,1775-07-22,Kent County,DE,"Dickinson Jun., John","Dickinson Junior, John",male,"Mifflin, Warner; 
Mifflin, Elizab.; 
Dickinson, Mary","Mifflin, Elizabeth",Duck Creek,,,,WGC,WGC
Nan,43,43,female,13th,A00179697_061,1775-07-22,Kent County,DE,"Dickinson Jun., John","Dickinson Junior, John",male,"Mifflin, Warner; 
Mifflin, Elizab.; 
Dickinson, Mary","Mifflin, Elizabeth",Duck Creek,,,,WGC,WGC
George,29,29,male,13th,A00179697_061,1775-07-22,Kent County,DE,"Dickinson Jun., John","Dickinson Junior, John",male,"Mifflin, Warner; 
Mifflin, Elizab.; 
Dickinson, Mary","Mifflin, Elizabeth",Duck Creek,,,,WGC,WGC
Dick,25,25,male,13th,A00179697_061,1775-07-22,Kent County,DE,"Dickinson Jun., John","Dickinson Junior, John",male,"Mifflin, Warner; 
Mifflin, Elizab.; 
Dickinson, Mary","Mifflin, Elizabeth",Duck Creek,,,,WGC,WGC
Sydney,24,24,female,13th,A00179697_061,1775-07-22,Kent County,DE,"Dickinson Jun., John","Dickinson Junior, John",male,"Mifflin, Warner; 
Mifflin, Elizab.; 
Dickinson, Mary","Mifflin, Elizabeth",Duck Creek,,,,WGC,WGC
Cassey,15,18,female,13th,A00179697_061,1775-07-22,Kent County,DE,"Dickinson Jun., John","Dickinson Junior, John",male,"Mifflin, Warner; 
Mifflin, Elizab.; 
Dickinson, Mary","Mifflin, Elizabeth",Duck Creek,,,,WGC,WGC
Fill,11,21,male,13th,A00179697_061,1775-07-22,Kent County,DE,"Dickinson Jun., John","Dickinson Junior, John",male,"Mifflin, Warner; 
Mifflin, Elizab.; 
Dickinson, Mary","Mifflin, Elizabeth",Duck Creek,,,,WGC,WGC
Janny [alias Jane],4,18,female,13th,A00179697_061,1775-07-22,Kent County,DE,"Dickinson Jun., John","Dickinson Junior, John",male,"Mifflin, Warner; 
Mifflin, Elizab.; 
Dickinson, Mary","Mifflin, Elizabeth",Duck Creek,,,,WGC,WGC
Sinah,1,18,female,13th,A00179697_061,1775-07-22,Kent County,DE,"Dickinson Jun., John","Dickinson Junior, John",male,"Mifflin, Warner; 
Mifflin, Elizab.; 
Dickinson, Mary","Mifflin, Elizabeth",Duck Creek,,,,WGC,WGC
George Whiford,12,21,male,14th,A00179697_062,1775-08-12,"Duck Creek Hundred, 
Kent County",DE,"Holliday, Robert",,male,"Mifflin, Warner; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Ezekiel Gales,35,32,male,14th,A00179697_062,1775-10-07,Philadelpia,PA,"Maxfield, Stephen",,male,"Mifflin, Warner; 
Mifflin, Daniel",,Duck Creek,,,,WGC,WGC
Violet,13,18,female,15th,A00179697_063,1775-12-22,Kent County,DE,"Meager, Mary",,female,"Mifflin, Warner; 
Holliday, Ann",,Duck Creek,,,,WGC,WGC
John; Lydia Beckett,"~14(John); 
~6(Lydia)","21(John); 
18(Lydia)","male; 
female",15th,A00179697_063,1776-01-16,Kent County,DE,"Allston, Israel",,male,"Mifflin, Warner; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Charles,40,40,male ,16th,A00179697_064,1776-06-03,Kent County,DE,"Bonners, Rachel",,female,"Mifflin, Warner; 
Congill, John; 
Wilson, William; 
Dickinson, John",,Duck Creek,,,husband of Fin,WGC,WGC
Fin,40,40,female,16th,A00179697_064,1776-06-03,Kent County,DE,"Bonners, Rachel",,female,"Mifflin, Warner; 
Congill, John; 
Wilson, William; 
Dickinson, John",,Duck Creek,,,wife of Charles,WGC,WGC
Anthony,19,21,male,16th,A00179697_064,1776-06-03,"Murderhill Hundred, 
Kent County",DE,"Sipple, Lydia",,female,"Mifflin, Warner; 
Congill, John; 
Caldwell, Mary",,Duck Creek,,,,WGC,WGC
Barbara,17,18,female,16th,A00179697_064,1776-06-03,"Murderhill Hundred, 
Kent County",DE,"Sipple, Lydia",,female,"Mifflin, Warner; 
Congill, John; 
Caldwell, Mary",,Duck Creek,,,mother of Nanny,WGC,WGC
Nanny,10 months,~2,female,16th,A00179697_064,1776-06-03,"Murderhill Hundred, 
Kent County",DE,"Sipple, Lydia",,female,"Mifflin, Warner; 
Congill, John; 
Caldwell, Mary",,Duck Creek,,,child of Barbara,WGC,WGC
Esther,11,18,female,17th,A00179697_065,1776-06-04,Sussex County,DE,"Oliver, Levi",,male,"Mifflin, Warner; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
George,50,pre-manumission,male,17th-18th,A00179697_065,1776-06-05,"Murderhill Hundred, 
Kent County",DE,"Emerson, Vincent",,male,"Mifflin, Warner; 
Congill, John; 
Bowers, John",,Duck Creek,,,,WGC,WGC
London,6,21,male,17th-18th,A00179697_065,1776-06-05,"Murderhill Hundred, 
Kent County",DE,"Emerson, Vincent",,male,"Mifflin, Warner; 
Congill, John; 
Bowers, John",,Duck Creek,,,,WGC,WGC
George,3,21,male,17th-18th,A00179697_065,1776-06-05,"Murderhill Hundred, 
Kent County",DE,"Emerson, Vincent",,male,"Mifflin, Warner; 
Congill, John; 
Bowers, John",,Duck Creek,,,,WGC,WGC
Isaac,2,21,male,17th-18th,A00179697_065,1776-06-05,"Murderhill Hundred, 
Kent County",DE,"Emerson, Vincent",,male,"Mifflin, Warner; 
Congill, John; 
Bowers, John",,Duck Creek,,,,WGC,WGC
Alice,40+,pre-manumission,female,17th-18th,A00179697_065,1776-06-05,"Murderhill Hundred, 
Kent County",DE,"Emerson, Vincent",,male,"Mifflin, Warner; 
Congill, John; 
Bowers, John",,Duck Creek,,,,WGC,WGC
Judah,22,pre-manumission,female,17th-18th,A00179697_065,1776-06-05,"Murderhill Hundred, 
Kent County",DE,"Emerson, Vincent",,male,"Mifflin, Warner; 
Congill, John; 
Bowers, John",,Duck Creek,,,,WGC,WGC
Sarah,7,18,female,17th-18th,A00179697_065,1776-06-05,"Murderhill Hundred, 
Kent County",DE,"Emerson, Vincent",,male,"Mifflin, Warner; 
Congill, John; 
Bowers, John",,Duck Creek,,,,WGC,WGC
Phillis,5,18,female,17th-18th,A00179697_065,1776-06-05,"Murderhill Hundred, 
Kent County",DE,"Emerson, Vincent",,male,"Mifflin, Warner; 
Congill, John; 
Bowers, John",,Duck Creek,,,,WGC,WGC
Mingo,50,pre-manumission ,male,18th,A00179697_066,1776-06-05,Kent County,DE,"Emerson, Johnathan",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Andrew,30,pre-manumission ,male,18th,A00179697_066,1776-06-05,Kent County,DE,"Emerson, Johnathan",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Sydney,40,pre-manumisison,female,18th,A00179697_066,1776-06-05,Kent County,DE,"Emerson, Johnathan",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Absalom,22,22,male,18th,A00179697_066,1776-06-05,Kent County,DE,"Emerson, Johnathan",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
London,20,21,male,18th,A00179697_066,1776-06-05,Kent County,DE,"Emerson, Johnathan",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
George,15,21,male,18th,A00179697_066,1776-06-05,Kent County,DE,"Emerson, Johnathan",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Chester,15,21,male,18th,A00179697_066,1776-06-05,Kent County,DE,"Emerson, Johnathan",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Isaac,8,21,male,18th,A00179697_066,1776-06-05,Kent County,DE,"Emerson, Johnathan",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Stepney,6,21,male,18th,A00179697_066,1776-06-05,Kent County,DE,"Emerson, Johnathan",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Daniel,4,21,male,18th,A00179697_066,1776-06-05,Kent County,DE,"Emerson, Johnathan",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
James,1,21,male,18th,A00179697_066,1776-06-05,Kent County,DE,"Emerson, Johnathan",,male,"Mifflin, Warner; 
Lay, Baptist; 
Congill, John; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Caesar,21,21,male,19th,A00179697_067,1776-06-08,Kent County,DE,"Smith, Jane",,female,"Mifflin, Warner; 
Congill, John; 
Smith, Ezekiel",,Duck Creek,,,,WGC,WGC
Ann,38,38,female,19th,A00179697_067,1776-06-08,Kent County,DE,"Smith, Jane",,female,"Mifflin, Warner; 
Congill, John; 
Smith, Ezekiel",,Duck Creek,,,,WGC,WGC
Peter,40,pre-manumission,male,19th,A00179697_067,1776-06-08,"Duck Creek Hundred, 
Kent County",DE,"Hazel, Barbara",,female,"Mifflin, Warner; 
Congill, John; 
Bowers, John",,Duck Creek,,,,WGC,WGC
Phebe,14,18,female,19th,A00179697_067,1776-06-08,"Duck Creek Hundred, 
Kent County",DE,"Hazel, Barbara",,female,"Mifflin, Warner; 
Congill, John; 
Bowers, John",,Duck Creek,,,,WGC,WGC
Caesar,8,21,male,20th,A00179697_068,1776-06-11,"Little Creek Hundred, 
Kent County",DE,"Register, Robert",,male,"Stout, Rebecca; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Mariah,22,22,female,20th,A00179697_068,1776-07-04,Kent County,DE,"Jenkins, Rebecca",,female,"Congille, John; 
Congill, Mary; 
Jenkins, Ruth",,Duck Creek,,,Mariah is the mother of Pucke,WGC,WGC
Pucke,6,18,female,20th,A00179697_068,1776-07-04,Kent County,DE,"Jenkins, Rebecca",,female,"Congille, John; 
Congill, Mary; 
Jenkins, Ruth",,Duck Creek,,,child of Mariah,WGC,WGC
Dido,13,18,female,21st,A00179697_069,1776-07-18,"St. Georges Hundred, 
Newcastle County",DE,"Sharpless, Thomas",,male,"Mifflin, Warner; 
Dawson, Beny",,Duck Creek,,,,WGC,WGC
Jacob,28,28,male,21st,A00179697_069,1776-07-30,Kent County,DE,"Edmondson, Thomas",,male,"Jenkins, Joseph; 
Williams, Samuel; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Cassandra,9,18,female,21st,A00179697_069,1776-07-30,Kent County,DE,"Edmondson, Thomas",,male,"Jenkins, Joseph; 
Williams, Samuel; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Mingo,70,70,male,22nd,A00179697_070,1776-11-15,"Misipillion Hundred, 
Kent County",DE,"Woodcock, Elizabeth; 
Woodcock, Anthony;
Rowland, Isaiah ",,"female(Elizabeth);
male(Anthony, Isaiah)","Mifflin, Warner; 
Jay Baptist; 
Bowman, Thomas",,Duck Creek,,,,WGC,WGC
Peter,52,52,male,22nd,A00179697_070,1776-11-15,"Misipillion Hundred, 
Kent County",DE,"Woodcock, Elizabeth; 
Woodcock, Anthony;
Rowland, Isaiah ",,"female(Elizabeth);
male(Anthony, Isaiah)","Mifflin, Warner; 
Jay Baptist; 
Bowman, Thomas",,Duck Creek,,,,WGC,WGC
Solomon,45,45,male,22nd,A00179697_070,1776-11-15,"Misipillion Hundred, 
Kent County",DE,"Woodcock, Elizabeth; 
Woodcock, Anthony;
Rowland, Isaiah ",,"female(Elizabeth);
male(Anthony, Isaiah)","Mifflin, Warner; 
Jay Baptist; 
Bowman, Thomas",,Duck Creek,,,,WGC,WGC
Jack ,7,21,male,22nd,A00179697_070,1776-11-15,"Misipillion Hundred, 
Kent County",DE,"Woodcock, Elizabeth; 
Woodcock, Anthony;
Rowland, Isaiah ",,"female(Elizabeth);
male(Anthony, Isaiah)","Mifflin, Warner; 
Jay Baptist; 
Bowman, Thomas",,Duck Creek,,,,WGC,WGC
Mariah,60,60,female,22nd,A00179697_070,1776-11-15,"Misipillion Hundred, 
Kent County",DE,"Woodcock, Elizabeth; 
Woodcock, Anthony;
Rowland, Isaiah ",,"female(Elizabeth);
male(Anthony, Isaiah)","Mifflin, Warner; 
Jay Baptist; 
Bowman, Thomas",,Duck Creek,,,,WGC,WGC
Hannah,52,52,female,22nd,A00179697_070,1776-11-15,"Misipillion Hundred, 
Kent County",DE,"Woodcock, Elizabeth; 
Woodcock, Anthony;
Rowland, Isaiah ",,"female(Elizabeth);
male(Anthony, Isaiah)","Mifflin, Warner; 
Jay Baptist; 
Bowman, Thomas",,Duck Creek,,,,WGC,WGC
Mariah Jun.,5,18,female,22nd,A00179697_070,1776-11-15,"Misipillion Hundred, 
Kent County",DE,"Woodcock, Elizabeth; 
Woodcock, Anthony;
Rowland, Isaiah ",,"female(Elizabeth);
male(Anthony, Isaiah)","Mifflin, Warner; 
Jay Baptist; 
Bowman, Thomas",,Duck Creek,,,,WGC,WGC
Phillis,2,18,female,22nd,A00179697_070,1776-11-15,"Misipillion Hundred, 
Kent County",DE,"Woodcock, Elizabeth; 
Woodcock, Anthony;
Rowland, Isaiah ",,"female(Elizabeth);
male(Anthony, Isaiah)","Mifflin, Warner; 
Jay Baptist; 
Bowman, Thomas",,Duck Creek,,,,WGC,WGC
James,30,30,male,23rd,A00179697_071,1777-01-22,"Murderhill Hundred, 
Kent County",DE,"Neall, Johnathan",,male,"Mifflin, Warner; 
Dickinson, John; 
Bowers, John",,Duck Creek,,,,WGC,WGC
Simon,10,21,male,23rd,A00179697_071,1777-01-22,"Murderhill Hundred, 
Kent County",DE,"Neall, Johnathan",,male,"Mifflin, Warner; 
Dickinson, John; 
Bowers, John",,Duck Creek,,,,WGC,WGC
Aaron,6,21,male,23rd,A00179697_071,1777-01-22,"Murderhill Hundred, 
Kent County",DE,"Neall, Johnathan",,male,"Mifflin, Warner; 
Dickinson, John; 
Bowers, John",,Duck Creek,,,,WGC,WGC
Hagar,?,time of manumission,female,23rd,A00179697_071,1777-01-22,"Murderhill Hundred, 
Kent County",DE,"Neall, Johnathan",,male,"Mifflin, Warner; 
Dickinson, John; 
Bowers, John",,Duck Creek,,,no exact age listed for Hagar but most likely >18,WGC,WGC
Caesar,50,42,male,24th,A00179697_072,1777-02-28,"Misipillion Hundred, 
Kent County",DE,"Hunn, Johnathan",,male,"Congill, Ezekiel; 
Mifflin, Warner; 
Holliday, Robert",,Duck Creek,,,,WGC,WGC
Caro,60,59,male,24th,A00179697_072,1777-02-28,"Misipillion Hundred, 
Kent County",DE,"Hunn, Johnathan",,male,"Congill, Ezekiel; 
Mifflin, Warner; 
Holliday, Robert",,Duck Creek,,,,WGC,WGC
John,2,21,male,24th,A00179697_072,1777-02-28,"Misipillion Hundred, 
Kent County",DE,"Hunn, Johnathan",,male,"Congill, Ezekiel; 
Mifflin, Warner; 
Holliday, Robert",,Duck Creek,,,child of Phebe (older),WGC,WGC
Caro,4,21,male,24th,A00179697_072,1777-02-28,"Misipillion Hundred, 
Kent County",DE,"Hunn, Johnathan",,male,"Congill, Ezekiel; 
Mifflin, Warner; 
Holliday, Robert",,Duck Creek,,,child of Thene,WGC,WGC
Anthony,12,21,male,24th,A00179697_072,1777-02-28,"Misipillion Hundred, 
Kent County",DE,"Hunn, Johnathan",,male,"Congill, Ezekiel; 
Mifflin, Warner; 
Holliday, Robert",,Duck Creek,,,child of Phebe (older),WGC,WGC
Daniel,10,21,male,24th,A00179697_072,1777-02-28,"Misipillion Hundred, 
Kent County",DE,"Hunn, Johnathan",,male,"Congill, Ezekiel; 
Mifflin, Warner; 
Holliday, Robert",,Duck Creek,,,,WGC,WGC
Phebe,30+,30+,female,24th,A00179697_072,1777-02-28,"Misipillion Hundred, 
Kent County",DE,"Hunn, Johnathan",,male,"Congill, Ezekiel; 
Mifflin, Warner; 
Holliday, Robert",,Duck Creek,,,"Phebe is the mother of Amey, Phebe, Mariah, John and ?",WGC,WGC
Phebe,9,18,female,24th,A00179697_072,1777-02-28,"Misipillion Hundred, 
Kent County",DE,"Hunn, Johnathan",,male,"Congill, Ezekiel; 
Mifflin, Warner; 
Holliday, Robert",,Duck Creek,,,child of Phebe (older),WGC,WGC
Mariah,6,18,female,24th,A00179697_072,1777-02-28,"Misipillion Hundred, 
Kent County",DE,"Hunn, Johnathan",,male,"Congill, Ezekiel; 
Mifflin, Warner; 
Holliday, Robert",,Duck Creek,,,child of Phebe (older),WGC,WGC
Thene,22,22,female,24th,A00179697_072,1777-02-28,"Misipillion Hundred, 
Kent County",DE,"Hunn, Johnathan",,male,"Congill, Ezekiel; 
Mifflin, Warner; 
Holliday, Robert",,Duck Creek,,,Mother of Caro (4 y/o),WGC,WGC
?,2 months,18,female,24th,A00179697_072,1777-02-28,"Misipillion Hundred, 
Kent County",DE,"Hunn, Johnathan",,male,"Congill, Ezekiel; 
Mifflin, Warner; 
Holliday, Robert",,Duck Creek,,,"no name listed for 2 month old female baby, child of Phebe (older)",WGC,WGC
Esther,?,pre-manumission,female,24th,A00179697_072,1777-02-28,"Cedar Creek, 
Sussex County",DE,"Mecay, Alexander",,male,"Rowland, Isaiah; 
Mifflin, Warner",,Duck Creek,,,"Mother of Esther, Alice, and John",WGC,WGC
Esther,7,18,female,24th,A00179697_072,1777-02-28,"Cedar Creek, 
Sussex County",DE,"Mecay, Alexander",,male,"Rowland, Isaiah; 
Mifflin, Warner",,Duck Creek,,,child of Esther,WGC,WGC
Alice,5,18,female,24th,A00179697_072,1777-02-28,"Cedar Creek, 
Sussex County",DE,"Mecay, Alexander",,male,"Rowland, Isaiah; 
Mifflin, Warner",,Duck Creek,,,child of Esther,WGC,WGC
John,3,21,male,24th,A00179697_072,1777-02-28,"Cedar Creek, 
Sussex County",DE,"Mecay, Alexander",,male,"Rowland, Isaiah; 
Mifflin, Warner",,Duck Creek,,,child of Esther,WGC,WGC
Samuel Bungee,? ,time of manumission,male,25th,A00179697_073,1777-04-10,Kent County,DE,"Jenkins, Jabez",,male,"Mifflin, Warner; 
Mifflin, Daniel; 
Holliday, Ann",,Duck Creek,,,child of Esther,WGC,WGC
Jeffery,35,34,male,25th-26th,A00179697_073,1777-04-20,Kent County,DE,"George, John",,male,"Mifflin, Warner; 
Mifflin, Daniel; 
George, Rachel",,Duck Creek,,,,WGC,WGC
Charles,2,21,male,25th-26th,A00179697_073,1777-04-20,Kent County,DE,"George, John",,male,"Mifflin, Warner; 
Mifflin, Daniel; 
George, Rachel",,Duck Creek,,,child of Doll,WGC,WGC
Sam ,16,21,male,25th-26th,A00179697_073,1777-04-20,Kent County,DE,"George, John",,male,"Mifflin, Warner; 
Mifflin, Daniel; 
George, Rachel",,Duck Creek,,,child of Doll,WGC,WGC
Caleb,7,21,male,25th-26th,A00179697_073,1777-04-20,Kent County,DE,"George, John",,male,"Mifflin, Warner; 
Mifflin, Daniel; 
George, Rachel",,Duck Creek,,,child of Doll,WGC,WGC
Charles,5 months,21,male,25th-26th,A00179697_073,1777-04-20,Kent County,DE,"George, John",,male,"Mifflin, Warner; 
Mifflin, Daniel; 
George, Rachel",,Duck Creek,,,son of Nell,WGC,WGC
Nell,20,20,female,25th-26th,A00179697_073,1777-04-20,Kent County,DE,"George, John",,male,"Mifflin, Warner; 
Mifflin, Daniel; 
George, Rachel",,Duck Creek,,,Mother of Charles,WGC,WGC
Doll,38,38,female,25th-26th,A00179697_073,1777-04-20,Kent County,DE,"George, John",,male,"Mifflin, Warner; 
Mifflin, Daniel; 
George, Rachel",,Duck Creek,,,"Doll is the mother of Esther, Sam, Pegg, Bett, Caleb, and Charles",WGC,WGC
Esther,18,18,female,25th-26th,A00179697_073,1777-04-20,Kent County,DE,"George, John",,male,"Mifflin, Warner; 
Mifflin, Daniel; 
George, Rachel",,Duck Creek,,,child of Doll,WGC,WGC
Pegg,13,18,female,25th-26th,A00179697_073,1777-04-20,Kent County,DE,"George, John",,male,"Mifflin, Warner; 
Mifflin, Daniel; 
George, Rachel",,Duck Creek,,,child of Doll,WGC,WGC
Bett,10,18,female,25th-26th,A00179697_073,1777-04-20,Kent County,DE,"George, John",,male,"Mifflin, Warner; 
Mifflin, Daniel; 
George, Rachel",,Duck Creek,,,child of Doll,WGC,WGC
Nero,12,21,male,26th,A00179697_074,1777-05-11,Kent County,DE,"Register, David",,male,"Register, Robert; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
George,6,21,male,26th,A00179697_074,1777-05-11,Kent County,DE,"Register, David",,male,"Register, Robert; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Daniel,3,21,male,26th,A00179697_074,1777-05-11,Kent County,DE,"Register, David",,male,"Register, Robert; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Jack ,?,time of manumission,male,26th-27th,A00179697_074,1777-05-24,Kent County,DE,"Bowman, Thomas; 
Bowman, Elizabeth",,male; female,"Mifflin, Warner; 
Mifflin Elizabeth; 
Woodcock, Anthony",,Duck Creek,,,,WGC,WGC
Thomas,40+,40+,male,26th-27th,A00179697_074,1777-05-24,Kent County,DE,"Bowman, Thomas; 
Bowman, Elizabeth",,male; female,"Mifflin, Warner; 
Mifflin Elizabeth; 
Woodcock, Anthony",,Duck Creek,,,"husband of Sarah, father of Esther, Tom, Anthony, Sarah, Dinah",WGC,WGC
Cato,33,33,male,26th-27th,A00179697_074,1777-05-24,Kent County,DE,"Bowman, Thomas; 
Bowman, Elizabeth",,male; female,"Mifflin, Warner; 
Mifflin Elizabeth; 
Woodcock, Anthony",,Duck Creek,,,,WGC,WGC
Thomas,21,21,male,26th-27th,A00179697_074,1777-05-24,Kent County,DE,"Bowman, Thomas; 
Bowman, Elizabeth",,male; female,"Mifflin, Warner; 
Mifflin Elizabeth; 
Woodcock, Anthony",,Duck Creek,,,,WGC,WGC
Isaac,13,21,male,26th-27th,A00179697_074,1777-05-24,Kent County,DE,"Bowman, Thomas; 
Bowman, Elizabeth",,male; female,"Mifflin, Warner; 
Mifflin Elizabeth; 
Woodcock, Anthony",,Duck Creek,,,,WGC,WGC
Anthony,8,21,male,26th-27th,A00179697_074,1777-05-24,Kent County,DE,"Bowman, Thomas; 
Bowman, Elizabeth",,male; female,"Mifflin, Warner; 
Mifflin Elizabeth; 
Woodcock, Anthony",,Duck Creek,,,child of Thomas (older) and Sarah,WGC,WGC
Nanny,50,50,female,26th-27th,A00179697_074,1777-05-24,Kent County,DE,"Bowman, Thomas; 
Bowman, Elizabeth",,male; female,"Mifflin, Warner; 
Mifflin Elizabeth; 
Woodcock, Anthony",,Duck Creek,,,wife of Jack,WGC,WGC
Sarah,36,33,female,26th-27th,A00179697_074,1777-05-24,Kent County,DE,"Bowman, Thomas; 
Bowman, Elizabeth",,male; female,"Mifflin, Warner; 
Mifflin Elizabeth; 
Woodcock, Anthony",,Duck Creek,,,"wife of Thomas (older), mother of Esther, Tom, Anthony, Sarah, Dinah",WGC,WGC
Sarah,1,18,female,26th-27th,A00179697_074,1777-05-24,Kent County,DE,"Bowman, Thomas; 
Bowman, Elizabeth",,male; female,"Mifflin, Warner; 
Mifflin Elizabeth; 
Woodcock, Anthony",,Duck Creek,,,child of Thomas (older) and Sarah,WGC,WGC
Dinah,9,18,female,26th-27th,A00179697_074,1777-05-24,Kent County,DE,"Bowman, Thomas; 
Bowman, Elizabeth",,male; female,"Mifflin, Warner; 
Mifflin Elizabeth; 
Woodcock, Anthony",,Duck Creek,,,child of Thomas (older) and Sarah,WGC,WGC
Esther,13,13,female,26th-27th,A00179697_074,1777-05-24,Kent County,DE,"Bowman, Thomas; 
Bowman, Elizabeth",,male; female,"Mifflin, Warner; 
Mifflin Elizabeth; 
Woodcock, Anthony",,Duck Creek,,,child of Thomas (older) and Sarah,WGC,WGC
Tom,10,21,male,26th-27th,A00179697_074,1777-05-24,Kent County,DE,"Bowman, Thomas; 
Bowman, Elizabeth",,male; female,"Mifflin, Warner; 
Mifflin Elizabeth; 
Woodcock, Anthony",,Duck Creek,,,child of Thomas (older) and Sarah,WGC,WGC
Thomas,25,25,male,27th,A00179697_075,1777-02-22,"St. Georges Hundred, 
Newcastle County",DE,"Williams, Martha",,female,"Mifflin, Warner; 
Turner, Susanna; 
Wilson, William",,Duck Creek,,,,WGC,WGC
Nan,35,35,female,28th,A00179697_076,1776-06-27,"Misipillion Hundred, 
Kent County",DE,"Fisher, Edmund",,male,"Bowman, Jemima; 
Mifflin, Warner",,Duck Creek,,,"Nan is the mother of Lydia
",WGC,WGC
